"","B0101","B0102","B0103","B0104","B0105","B0106","B0204","B0205","B0206","B0207","B0208","B0209","B0210","B0211","B0212","B0213","B0214","B0215","B0216","B0217","B0218","B0219","B0220","B0221","B0302","B0303","B0307","B0309","B0310","B0401","B0402","B0403","B0601","B0602","B0603","B0604","B0605","B0701","B0702","B0703","B0704","B0705","B0706","B0707","B0708","B0709","B0710","B0711","B0712","B0801","B0802","B0803","B0804","B0805","B0901","B0902","B0903","B1004","B1012","B1028","B1029","D0101","D0102","D0103","D0104","D0201","D0202","D0203","D0204","D0205","D0206","D0207","D0208","D0209","D0210","D0211","D0212","D0213","D0301","D0302","D0303","D0304","D0305","D0306","D0307","D0308","D0309","D0310","D0501","D0502","D0503","D0504","D0505","D0506","D0507","D0508","D0509","D0510","D0511","D0512","D0513","D0516","D0517","D0518","D0601","D0602","D0603","D0604","D0606","D0607","D0608","D0609","D0610","D0611","D0612","D0613","D0701","D0702","D0704","D0705","D0706","D0708","D0801","D0802","D0805","D0807","D0811","D0812","D0813","D0815","D0816","D0817","D0901","D0902","D0903","D0904","D0905","D0906","D0907","D0908","D0910","D0911","D0912","S0101","S0103","S0104","S0105","S0201","S0202","S0301"
"EHA01490_bin.9",0.88,0.94,1,0,0.75,0.75,0.67,0.8,0.5,0.57,0.75,1,1,0.86,0.67,1,0,0.42,0.17,0.5,0.5,0,0.17,0.4,0,0.4,0,0,0,0.67,0.71,0.67,0.43,0.67,0.25,1,0,1,0.25,0,0,0.17,0.33,0.8,0.29,0.25,0,0,0,0,1,1,1,0.33,0,0,0,0.17,0,0.14,0,0.5,0,0.2,0.2,0.04,0.08,0.29,0.25,0,0,0,0,0,0,0,0,0.17,0,0.33,0,0.5,0,0,0.5,0,0.5,0.5,1,1,0,0,0,0,0.17,0.04,0,0,0.8,0,0,0,0,0.33,0,0,0,0,0,0.25,0.33,0.33,0,0,0,0,0,0,1,0.16,0,0,0,0,0,0.2,0,0,0,0.33,0.29,0.17,1,1,0,0,1,0,1,1,0,1,0,0.6,0.5,0.25,0,1,0.04,0.81
"EHA01490_bin.90",0.62,0.17,1,0,0.5,0.25,0.67,0.2,0.5,0.43,1,1,1,0.5,0.71,1,0.25,0.25,0,0.5,0.33,0,0,0.8,0,0.2,0.5,0,0,0.67,0.43,0.33,0.4,0.71,0.25,1,1,0.5,0.5,0.33,0.5,0.33,0,0.17,0.09,0,0,0,0,0,0,0.4,0.67,1,0.33,0,0.33,0.17,0.5,0.14,0,0,0.38,0.2,0.4,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1,1,0,0,0.33,0.5,0.33,0.08,0.5,0,0.6,0.25,0.14,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.07,0,0,0,0,0.29,0,1,0,0,0,1,0,1,1,0,1,0,0.9,0.33,1,0,0.83,0,0.52
"EHA01490_bin.92",1,0.94,1,0.5,0.75,0.75,0.67,0.8,0.5,0.71,1,1,1,0.71,0.67,1,1,1,0.17,0.5,0.5,0,0,0.4,0,0.2,0.5,0,0,0.67,0.33,0.6,0.8,0.8,0.5,1,1,0.33,1,0,1,0.5,0,0.95,0.14,0,0.04,1,0.33,0,1,1,0.67,0,0,0,0,0.17,0,0,0,0,0.25,0.07,0,0.15,0.38,0.71,0.42,0.19,0.29,1,0.36,0.38,0.38,0.5,0.86,0.17,0,0.33,0,0.5,0.5,0.5,0.5,0,0.75,1,1,0,0,0,0.33,0.5,0.22,0,0.5,0,1,1,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0.16,0,0.25,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,1,1,0,0,1,0.17,0.25,0.78,0.17,0,0
"EHA01490_bin.96",0.75,0.94,1,0,0.75,0.75,0,1,0.33,0.71,0,0,0,0.33,0,1,0,0.06,0,0.25,0.25,0,0,0,0,0.4,0,0,0,1,0.67,0.33,0.27,0.27,0.17,0,1,0.12,0.25,0,0,0,0,0.2,1,0,0,0,0,0,0,0.22,0.67,1,0,0,0,0.17,0,0.14,0,0.5,0,0,0,0.04,0.08,0.29,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.5,0.16,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.8,0.17,0.5,0,1,0,0.74
"EHA01490_bin.97",0.88,1,1,1,1,1,0.33,0.6,1,0.57,1,1,1,0.83,1,1,0,0.5,1,0.5,0.5,0,0.67,1,0,0.2,0.5,0.5,0,1,1,0.67,0.33,1,0.12,0,0,1,1,0,1,0.17,0.33,0.4,0.95,0,0,0,0,0,1,1,0.67,0.33,0.33,0,0,0.17,0.17,0.14,0,0,0.5,0.27,0.4,0.19,0.23,0.29,0.33,0,0,0,0.07,0.15,0.62,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,1,0,0,0.33,0.5,0.33,0.33,0.5,0,0.5,0,0.14,0,0.25,0.67,0,1,0,0.5,0,0.25,0,0.33,0.33,0,0,0,0,0.5,1,0.16,0,0.25,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,1,0,1,1,0,1,0,1,0.5,0.5,0,1,0.06,0.89
"EHA01490_bin.99",0.75,0.72,0,0.5,0.5,0.5,0.67,0.6,0.5,0.29,0.75,0.8,0.5,0.86,0.33,0.75,0.75,0.58,0.83,0.25,0.5,0,0.33,0.8,0,0.2,0.5,0,0,0.5,0.67,0.75,0.23,0.33,0.18,0,1,1,0.33,0.33,0.34,1,0.33,0.7,0.86,0.25,0,0,0.06,0,0,0.8,0.67,0.33,0.14,0,0.33,0.17,0,0,0,0,0,0.2,0.2,0.07,0.31,0.29,0.25,0.12,0.29,0.83,0.57,0.46,0.25,0,0.86,0.33,0.25,0.33,0,0.5,0,0.5,0.25,0.25,0.75,0.67,1,1,0,0,0.67,0.5,0.17,0.04,0.5,0,0.5,0.75,0.14,0,0,0.33,0,0,0,0.5,0.5,0,0,0.33,0.33,0,0,0,0,1,0.5,0.5,0,0.25,0.33,0.33,0,0,0,0,0,0,0.29,0,1,0,0,0,0,0,1,1,1,0,0,0.7,0.25,0.5,0,0.33,0.06,0.65
"EHA01495_bin.100",1,0.22,1,0.5,0.75,0.75,0.33,0.6,1,0.43,1,1,1,0.86,1,1,0,0.83,0.75,0.5,0.5,0,0,1,0,0.2,0.5,0,0,1,0.67,0.67,0.38,1,0.67,1,0,1,0.33,0.33,0.16,1,0.33,1,0.86,0.25,0,0,0,0,1,1,0.67,0.33,0,0,0,0.17,0,0,0,0,0,0,0,0.15,0.31,0.29,0.75,0.06,0,0.83,0.36,0.46,0.25,0,0.86,0.33,0,0.67,0,0.5,0.5,0.5,0.5,0.25,0.5,0.67,0,1,0,0,0.67,0.5,0.17,0.2,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0.33,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0.2,0,0,0,0,0,0.17,1,0,0,0,1,0,1,1,1,1,0,1,0.42,0.25,0.2,0.33,0,0.93
"EHA01495_bin.101",0.88,0.89,0,0.5,0.75,0.75,0.67,0.8,1,0.86,0.5,0.6,0,0.71,1,0.75,0.75,0.83,0.33,0.5,0.5,0,0.33,1,0,0.4,0,0,0,1,0.71,0.67,0.4,1,0.38,0,0,0.5,0.25,0.33,0.34,0.17,0,0.6,0,0,0,0,0,0,1,1,1,1,0,0,0.33,0.17,0.5,0.14,0,0.5,0,0.2,0.2,0.11,0.15,0.29,0.67,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0.33,0,0.5,0,0.5,0.75,0,0.25,0.67,1,1,0,1,0.33,0.5,0.22,0,0,0,0.8,0.75,0.14,0,0,0.5,0,0,0,1,0,0,0,0.33,0,0,0,0,0,0,1,0.16,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,1,1,1,1,0,0.8,0.5,0.5,0,1,0,0.84
"EHA01495_bin.103",1,0.72,1,0.5,0.5,0.75,0.67,1,1,0.86,1,1,0.33,1,1,0.75,0,0.86,1,0.5,0.33,0,0.33,0.8,0,0.4,1,0,0,1,0.67,0.75,0.43,1,0.25,0,0,1,0.33,0,0.16,0.17,0.5,0.4,0.91,0,0,0,0.22,0,1,1,1,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.29,0,0.06,0.14,0,0,0,0,0,0,0.17,0,0.33,0,0.5,0.5,1,0.75,0.75,0.75,0.67,1,1,0,0,0.67,0.5,0.22,0,1,0,0.2,0,1,0,0,0,0,0,0,1,0.33,0,0,0.33,0.33,0,0,0,0,1,0.5,1,0.5,0.25,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,1,1,1,0,0,0.9,0.33,1,0.2,1,0.06,0.84
"EHA01495_bin.105",0,0,1,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.12,0.06,0,0.25,0,0,0,0,0,0,0.5,0,0,0.67,0.33,0.5,0.1,0.1,0.06,1,0,0.12,0,0,0,0,0.33,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.12,0.2,0.4,0.07,0.08,0.29,0.75,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0.33,0,0,0.04,0.5,0,0,0.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,1,0,0,0.78,0.17,0.25,0.78,1,0,0
"EHA01495_bin.11",0.5,0.33,1,0.5,0.25,0,0.67,0.2,0.33,0.29,1,0.8,0.67,0.57,0.33,0,0,0.58,0.92,0.5,0.5,0,0.17,0.88,0,0,0.5,0.5,0,0.5,0.33,0,0.31,0.4,0.67,0,0,0.12,0.33,0,0.16,0.17,0.33,0.4,0.14,0,0,0,0,0,1,0.6,0.33,0.33,0,0,0,0.17,0,0,0,0,0,0.2,0.2,0.15,0.31,0.43,0.25,0.12,0.86,0.83,0.29,0.23,0.25,0,0.14,0.5,0,0,0,0.5,0,0.5,0.25,0,0.25,0,1,0,0,0,0.33,0.5,0.22,0.04,0.5,1,0.5,0,0.14,0,0,0.33,0,0,0,0,0.6,0,0,0,0.33,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,1,1,1,1,0,1,0,0.8,0.17,0,0,0.83,0,0.6
"EHA01495_bin.110",0.62,0.89,1,0,0.75,0.75,1,0.4,0.5,0.14,0.25,0.4,0,0.57,0.33,0.25,0,0.67,0.17,0,0.25,0,0.33,0.88,0,0,0,0,0,0.67,0.33,0.67,0.29,0.33,0.33,0,0,0.5,0,0,0.34,0.33,0,0.2,0,0,0,0,0,0,1,0.29,0.33,1,0,0,0,0,0.33,0,0,1,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.17,0,0,0,0,1,1,0,1,0.33,0.5,0.33,0.04,0,0,0.2,0,0.14,0,0,0.17,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,1,0.16,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,1,0,1,1,1,1,0,0.33,0.17,0.5,0,0.83,0.04,0.5
"EHA01495_bin.113",0.88,0.89,1,0.5,0.75,0.75,0.33,0.4,0.5,0.57,1,1,0.67,0.83,1,1,0,1,1,0.5,0.5,0,0.33,1,0,0.2,0.5,0,0,0.67,0.33,0.67,0.37,1,0.35,1,0,1,0.33,0.33,0.34,0.17,0.33,0.6,0.86,0,0,0,0,0,0,0.6,0.67,1,0,0,0,0.17,0,0,0,0,0,0,0,0.15,0.38,0.43,0.25,0.31,0.86,0.83,0.64,0.46,0.25,0,0.71,0.67,0.5,0.33,0,0.25,0.5,0.5,0.25,1,0.5,0.67,1,1,0,0,0.43,0.5,0.22,0,0.5,0,1,0,0.14,0.5,0,0,0,0,0,1,0,0,0,0,0.33,0,0,0,0,0,1,0.34,0.5,0,0.33,0.33,0,0,0,0,0,0,0.14,0,0,0,0,0,1,0,1,1,1,1,0,0.9,0.17,0,0,0.17,0,0.75
"EHA01495_bin.114",0.5,0.11,0,0,0,0.75,0,0.6,0.33,0.57,0.25,0.5,0.33,0.67,0,0,0,0,0,0,0.25,0,0,0.25,0,0.2,0,0,0,0.67,0.33,0.25,0.12,0.12,0.33,1,0,0,0.25,0,0.16,0,0,0,0,0,0,0,0,0,0,0.22,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0.67,0.5,0.17,0,0.33,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.42,0.17,0.25,0,0,0,0.31
"EHA01495_bin.115",0.17,0,0,1,0.5,0.5,0,0.6,0.5,0.29,0.5,0.4,0.17,0.57,0,1,0,0,0.17,0.25,0.5,0,0,0,0,0.2,1,0,0,0,0,0.25,0,0,0,1,0,0.33,0.17,0.33,1,0.17,0.5,0.15,0.14,0,0,0,0,0,0,0.4,0.33,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.33,1,0,0,0,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.56,0.33,0,0.44,0.5,0,0.02
"EHA01495_bin.12",1,1,1,0,0.75,0.75,0.33,0.6,1,0.71,1,1,1,0.86,1,1,0,0.83,1,0.5,0.5,0,0.17,1,0,0.2,0.5,0,0,1,0.67,0.67,0.38,1,0.67,0,1,0.12,0.33,0,0.16,0.17,0,0.8,0.29,0.25,0,0,0,0,1,1,0.67,0.33,0,0,0,0.17,0,0,0,0,0,0.2,0.2,0.19,0.38,0.57,0.67,0.19,0.86,0.83,0.29,0.23,0.25,0.25,0.14,0.67,0.25,0.67,0,0.5,0.5,0.5,0.5,0,0.75,0.67,0,1,0,0,0.33,0.5,0.17,0.04,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0.33,0,0,1,0,0,1,0.16,0,0,0,0,0,0.2,0,0,0,0,0.29,0.17,0,0,0,0,1,0,1,0,1,1,0,1,0.42,0.25,0.2,1,0.21,0.84
"EHA01495_bin.121",1,1,1,0.5,0.75,0.75,0.67,0.6,1,0.71,1,1,1,0.86,1,1,0,0.83,0.83,0.5,0.5,0,0.17,1,0,0.2,0.5,0,0,0.67,0.33,0.67,0.38,1,0.67,1,0,0.12,0.58,0.33,1,0.17,0.33,0.4,0.71,0.25,0.04,0.11,0.06,0,1,0.8,0.67,0.33,0,0,0,0.17,0,0,0,0.5,0,0.2,0.2,0.19,0.46,0.43,0.75,0.25,0.86,1,0.36,0.54,0.38,0.38,0.86,0.67,0,0.67,0,0,0.5,0.5,0,0.75,0.75,0.67,1,1,0,0,0.33,0.5,0.17,0.04,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0.33,0,0,1,0,0,1,0.16,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,1,0,1,1,1,1,0,1,0.33,0.5,0,1,0.06,0.93
"EHA01495_bin.122",0.75,1,0,1,0.75,1,0.67,0.4,1,0.71,0.5,1,1,0.67,0.67,0.75,0.25,0.83,0.92,0.5,0.25,0,0,0.2,0,0,0,0,0,0.67,0.33,0.33,0.33,0.67,0.33,1,1,0.88,1,0.67,1,0.67,0.67,1,0.71,0,0.18,0.44,0.11,0,1,0.8,0.33,0.33,0,0,0,0.17,0,0,0,0,0,0,0,0.19,0.46,0.71,0.67,0.5,0.86,0.83,0.36,0.54,0.38,0.38,1,0.5,0,0.33,0,0.5,0.5,1,0.25,1,0.5,1,1,0,0,0,0.33,0.5,0.17,0,0.67,0,1,0.25,1,0,0,0,0.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.16,0.5,0,0,0,0,0,0,0,0,0,0.14,0,1,0,0,0,0,0,0,0,1,0,0,0.78,0.33,0.25,0.78,0.33,0,0.02
"EHA01495_bin.126",0.88,0.83,1,0.5,0.75,0.75,0.33,0.6,0.5,0.71,1,1,1,0.86,1,1,0,1,1,0.5,0.5,0,0.33,1,0,0.2,0.5,0,0,1,0.67,0.67,0.29,1,0.67,1,1,0.12,0.33,0,0.16,0.17,0,0.8,0.86,0.25,0,0,0,0,1,1,0.67,0.33,0,0,0,0.17,0.17,0,0,0.5,0,0.2,0.2,0.81,0.85,0.43,0.25,0.25,0.29,0.83,0.79,0.69,0.25,0,0.86,0.33,0,0.67,0,0.5,0.5,0.5,0.75,0.5,0.5,0.33,1,1,0,0,0.33,0.5,0.17,0.04,0.5,0,0.5,0,0,0,0,0.17,0,0,0,1,0.33,0,0,0.33,0.33,0,0,0,0,0,1,0.34,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,1,1,1,1,0,0.8,0.5,1,0.2,1,0.06,0.87
"EHA01495_bin.128",0.53,0.56,1,1,0.75,0.75,0.67,0.8,1,0.86,1,1,0,1,0.14,0.75,0.25,1,0.5,0,0,0,0,0.4,0,0.2,0.5,0.5,0,0.33,0.14,0.4,0.47,0.47,0.42,1,1,0.83,1,0.67,1,0.5,1,0.9,0.86,0,0.36,0.56,0,0,1,0.8,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0.37,0.62,0.71,0.42,0.31,0.86,0.83,0.5,0.92,0.88,0.38,0.86,0.5,0,0.33,0,0.25,0.5,1,0,1,0.75,1,1,1,0,0,0.33,0.5,0.22,0,1,0,0.5,0.25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.14,0,1,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.25,0.56,0.33,0,0
"EHA01495_bin.129",0.88,0.17,1,0.5,0.5,0.5,0.33,0.6,0.5,0.57,0.75,1,1,0.71,0.67,1,0,0.83,0.17,0,0.25,0,0,1,0,0.4,0,0,1,1,0.67,0.67,0.23,0.67,0.33,0,1,0.5,0.33,0,0.16,0.17,0,0.2,0.14,0.25,0,0,0,0,1,0.8,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0.81,0.85,0.43,0.67,0.25,0.86,0.83,0.5,0.62,0.38,0.38,1,0.5,0,0,0,0.25,0.5,0,0.25,0.5,0.5,0,1,1,0,0,0.67,0.5,0.17,0.04,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.33,0.33,0,0,0,0,1,0.5,0.5,0,0.25,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,1,0,1,0,1,1,0,0.7,0.25,0.25,0,1,0,0.7
"EHA01495_bin.13",0.88,0.67,1,0,0.5,0.25,0.67,0.4,0.5,0.43,0.62,1,0.67,0.5,0.67,0.75,0.5,0.61,0.17,0.5,0.5,0,0.17,0,0,0,0.5,0.5,0,1,0.67,0.67,0.2,0.67,0.12,0,0,0.12,0,0.33,0,0.17,0.33,0.2,0.43,0,0,0,0,0,0,0.8,0.33,0.33,0,0,0,0.17,0,0.14,0,0,0,0,0,0.04,0.08,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0.25,0,0.25,0,1,1,0,0,0,0,0,0,0.5,0,0.5,0.5,0.14,0,0,0.17,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0.5,0,0.16,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,1,1,0,0,0.6,0.33,0.5,0.2,0.83,0,0.25
"EHA01495_bin.137",0,0,1,0.5,0.5,0.5,0,0.2,0.33,0.14,0,0,0,0.17,0,0,0.12,0.06,0,0,0,0,0,0,0,0.2,0.5,0,0,0.67,0.33,0.5,0.1,0.1,0.06,1,0,0.12,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.22,0.33,0,0,0,0,0,0,0,0,0,0.12,0.2,0.4,0.07,0.08,0,0.42,0,0,0,0.14,0.15,0.12,0,0.14,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0.33,0,0,0.04,0.5,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,1,0,0,0,0.6,0.17,0.25,0.56,0.83,0,0
"EHA01495_bin.138",0.75,0.89,1,0.5,0.5,0.75,0.33,0.8,1,0.71,1,1,0.67,0.86,1,1,0.75,0.61,0.17,0,0.25,0,0,1,0,0.4,1,0,0,1,0.67,0.67,0.48,1,0.67,1,1,1,0.33,0.33,0.34,1,0.33,0.6,0.86,0.25,0,0,0.06,0,1,1,1,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0.15,0.38,0.57,0.42,0.25,0.86,0.83,0.36,0.62,0.25,0.25,0.86,0.67,0,0.33,0,1,0,0.5,0.5,1,0.5,0.67,1,1,0,0,0.67,0.5,0.17,0.04,1,0,0.5,0.75,0.14,0.5,0,0,0,0,0,1,0,0,0,0.33,0.33,0,0,0,0,1,1,0.5,0.5,0.25,0,0,0,0,0,0,0,0,0.14,0,1,1,0,0,0,0,1,1,1,0,0,1,0.33,1,0,1,0.15,0.77
"EHA01495_bin.139",0.75,0.89,1,0.5,0.75,0.75,0.67,0.8,0.5,0.57,0.75,1,1,0.71,0.33,0.5,0.75,0.75,0.17,0.25,0.25,0,0,0,0,0.2,0,0,0,0.67,0.33,0.4,0.6,0.75,0.38,1,1,0.33,1,0,1,0.33,0,0.95,0.14,0,0.04,0.5,0.22,0,1,1,0.67,0,0,0,0,0.17,0,0,0,0,0.25,0.07,0,0.15,0.38,0.71,0.42,0.19,0.29,0.83,0.29,0.31,0.38,0.5,0.86,0.17,0,0.33,0,0.5,0.5,0.5,0.5,0,0.5,1,1,0,0,0,0,0,0.06,0,0,0,0.5,0.75,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0.16,0,0.25,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,1,1,0,0,1,0.17,0.25,0.78,0.17,0,0
"EHA01495_bin.140",1,1,1,0.5,0.75,0.75,0.67,0.2,0.5,0.43,1,1,1,0.83,1,0,1,1,0.83,0.5,0.5,0,0.17,0.4,0,0.2,0.5,0,0,0.67,0.83,0.67,0.8,1,0.5,1,0,0.88,1,0.33,1,1,1,0.95,0.86,0,0.29,0.44,0.11,0,1,1,0.67,0,0,0,0,0.17,0,0,0,0,0,0.2,0.2,0.15,0.31,0.71,0.75,0.19,0.86,0.83,0.29,0.31,0.25,0,0.14,0.5,0,0,0,0.5,0.5,0,0.25,0.25,0.75,1,1,1,0,0,0.33,0.5,0.22,0,0.5,0,1,1,1,0,0,0.17,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0.16,0.5,0,0,0,0,0,0,0,0,0,0.29,0,1,0,0,0,0,0,0,0,0,0,0,1,0.33,0.25,0.89,0.33,0,0
"EHA01495_bin.142",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.33,0.14,0.14,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0.25,0,0,0.17,0.29,0.15,0.12,0,0.14,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6,0.17,0.25,0,0,0,0.56
"EHA01495_bin.147",0.28,0.22,0,1,1,0.75,0.67,0.6,0,0.29,0,0,0.33,0.57,0.33,0.75,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.33,0.14,0,0.17,0.33,0.33,0,0,0.12,0.25,0,0,0.17,0,0.25,0.18,0.25,0,0.22,0.11,0,0,0.2,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0,0,0.07,0,0,0,0,0.14,0,0,0,0,0,0,0,1,1,0,0,0,0.25,0.17,0,0,0,0,0
"EHA01495_bin.148",0.62,0,0,0.5,0.5,0.5,1,1,0.5,0.57,0.25,0.2,0.33,0.86,0.43,0.75,0,0.2,0,0.25,0.5,0,0.17,1,0,0.4,0.5,0,0,0.67,0.43,0.33,0.11,0.43,0,1,1,0,0,0,0.34,0.17,0,0,0.71,0.25,0,0,0,0,0,0.22,1,0.33,0.33,0,0,0.17,0.5,0,0,0,0.25,0,0.2,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.33,0.5,0.33,0,0.5,0,0.6,0,0,0,0,0,0,0,0,1,0.67,0,0,0.33,0,0,0,0,0,0,0.5,0.16,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,1,0,1,0,0,1,0,0.6,0.17,0.25,0,1,0.04,0.4
"EHA01495_bin.151",1,0.94,1,0.5,0.75,0.75,1,1,1,0.86,0.62,1,1,0.83,1,1,0,0.92,1,0.5,0.5,0,0.17,1,0,0.4,0.5,0,0,1,1,0.75,0.5,1,0.38,0,1,1,1,0,0.25,0.33,0,0.6,0.95,0,0,0,0,0,1,0.8,1,0.33,0,0,0,0.17,0.17,0.14,0,0.5,0.12,0.2,0.4,0.11,0.15,0.29,0.67,0.06,0.14,0.17,0.21,0.15,0.12,0,0.14,0,0,0.67,0,0,0,0.5,0,0,0.75,0.67,1,1,0,0,0,0,0.06,0.04,0.5,0,0.5,0,0.14,0,0,0.17,0,0,0,1,0,0,0,0.33,0.33,0,0,0,0,0.5,0.5,0.34,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,1,0,1,1,0,1,0,1,0.5,0.5,0,1,0,0.91
"EHA01495_bin.20",0.5,0.89,1,0.5,0.25,0.5,0.33,0.6,1,0.71,0.25,1,0.67,0.71,0.67,0.75,0.25,0.06,0.33,0.5,0.5,0,0.17,1,0,0.2,0.5,0,0,1,0.67,0.33,0.47,0.67,0.42,1,0,1,0.33,0.33,0.25,0.17,0.33,0.6,0.71,0,0,0,0.06,0,1,1,0.67,1,0,0,0,0.17,0,0,0,0.5,0,0,0,0.15,0.38,0.43,0.25,0.19,0.86,0.33,0.36,0.54,0.25,0.25,0.86,0.5,0,0,0,0,0.5,0,0,0.25,0.5,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0.25,0,0,0,0,0,0,0,0.5,0.33,0,0,0,0,0,0,0,0,0,1,0.16,0,0,0.08,0,0,0.2,0,0,0,0,0.14,0.17,0,1,0,0,0,0,1,0,0,0,0,0.67,0.17,0,0.2,0.5,0,0.58
